見出し語（品詞）,訳
clout（名詞）,（げんこつなどで）殴ること、（政治的）勢力、影響力
clout（他動詞）,…を（げんこつなどで）殴る
anesthesia（名詞）,麻酔、まひ、無感覚
antidote（名詞）,解毒剤、対策、対抗手段
biopsy（名詞）,生体組織検査、生検
bosom（名詞）,胸、胸の中、心
chromosome（名詞）,染色体
concussion（名詞）,脳震とう、衝撃、激動
containment（名詞）,抑制、束縛、（対立国への）封じ込め
contraception（名詞）,避妊（法）、産児制限
cortex（名詞）,皮層、樹皮、（脳などの）皮質、外皮
efficacy（名詞）,効き目、有効性、効果
euthanasia（名詞）,安楽死
fetus（名詞）,（妊娠9週以後の）胎児
genital（名詞）,（genitalsで）生殖器
genital（形容詞）,生殖（器）の（限定用法）
hypertension（名詞）,高血圧（症）、過度の緊張
leukemia（名詞）,白血病
marrow（名詞）,髄、骨髄、（the marrowで）核心、真髄
menopause（名詞）,閉経期、更年期
mole（名詞）,①ほくろ、あざ　②モグラ　③防波堤　④モル（物質量の単位）
nausea（名詞）,吐き気、嫌悪
neuron（名詞）,ニューロン、神経単位
nipple（名詞）,乳首、（ほ乳瓶やおしゃぶりなどの）乳首（状の物）
placebo（名詞）,気休めの薬、偽薬、プラシーボ、気休め
pore（名詞）,毛穴
pore（自動詞）,熟読する、熱中する、熟考する
reflex（名詞）,（reflexesで）反射能力、反射神経
relapse（名詞）,（病気の）再発、ぶり返し、（悪い状態への）逆戻り
relapse（自動詞）,逆戻りする、悪い状態に戻る
respiration（名詞）,呼吸、呼吸作用
scalp（名詞）,（毛髪の付いた）頭皮、戦利品
tuberculosis（名詞）,結核
womb（名詞）,子宮、（物事の）発生する場所、内部
bravado（名詞）,虚勢、空威張り
clamor（名詞）,（通常a [the] clamorで）やかましい声、どよめき、騒々しい音、民衆の声
complacency（名詞）,自己満足、独り善がり
contrition（名詞）,悔恨、悔悟、後悔
cynicism（名詞）,冷笑、皮肉な態度［性格・考え方］、皮肉な言葉［行動］
deference（名詞）,服従、尊敬、敬意
demeanor（名詞）,態度、物腰、振る舞い、行状
derision（名詞）,あざけり、嘲笑、愚弄
euphoria（名詞）,強い幸福感、高揚感
funk（名詞）,①おびえ、尻込み、憶病、落ち込み　②ファンク（ファンキー・ミュージック）
furor（名詞）,熱狂、騒動、熱狂的大流行［称賛］
gall（名詞）,①ずうずうしさ　②すり傷
gall（自動詞）,すりむく
gall（他動詞）,…をすりむく、…をいら立たせる
glee（名詞）,喜び、歓喜、（他人の不幸などを見て）ほくそ笑むこと
hallucination（名詞）,幻覚（症状）、幻影、妄想
homage（名詞）,尊敬、敬意、（封建時代の）忠誠の誓い
hunch（名詞）,直感、予感、勘
hunch（他動詞）,（背中など）を丸める、…を押しやる
indignation（名詞）,義憤、憤り
mirage（名詞）,蜃気楼、妄想、幻覚
misgiving（名詞）,（未来への）不安、疑い、恐れ
ovation（名詞）,熱烈な歓迎、大喝采
phantom（名詞）,幻、幽霊、幻覚、幻影
phantom（形容詞）,幽霊の、幻の、見せ掛けの（限定用法）
rancor（名詞）,怨恨、憎しみ
remorse（名詞）,深い後悔、自責の念、良心の呵責
revulsion（名詞）,（強い）反感、嫌悪、（感情などの）急変
solace（名詞）,慰め、慰安、慰めとなるもの［人］
solace（他動詞）,…を慰める、（苦痛）を和らげる
tantrum（名詞）,かんしゃく、不機嫌
tremor（名詞）,（弱い）揺れ、（恐怖などによる）震え、身震い
vengeance（名詞）,復讐、仕返し
whiff（名詞）,（通常a whiffで）ふわっと漂う香り［におい］
whiff（自動詞）,嫌なにおいがする
concerto（名詞）,協奏曲、コンチェルト
embodiment（名詞）,具体化、（通常the embodimentで）具体化されたもの、化身、権化
tribune（名詞）,人権の擁護者、（新聞名で）トリビューン
acronym（名詞）,頭字語
benchmark（名詞）,（通常a [the] benchmarkで）（判断の）基準、標準
calculus（名詞）,微積分学、（特殊な記号体系を使う）計算法、結石
citation（名詞）,引用（文）、（軍人などに対する）表彰（状）
commandment（名詞）,命令、指令、おきて、戒律
compilation（名詞）,（本などの）編集（したもの）、編纂
conundrum（名詞）,なぞなぞ、難問、謎の人［物］
convergence（名詞）,（一点への）集中、集合、（意見などの）一致
denomination（名詞）,宗派、教派、（貨幣などの）単位、額面金額
dictum（名詞）,金言、格言、（権威ある）意見
doctorate（名詞）,博士号
enigma（名詞）,謎、謎めいた言葉、不可解な出来事
halo（名詞）,円光、後光、（太陽や月の）かさ
heresy（名詞）,異端、異説、異論
psyche（名詞）,（通常the [one's] psycheで）（肉体に対して）精神、魂
pun（名詞）,だじゃれ、地口、語呂合わせ
pun（自動詞）,しゃれを言う
quantum（名詞）,量子、（特定の）量、分け前
resurrection（名詞）,キリストの復活（the Resurrectionで）、よみがえり、復活
sanctity（名詞）,神聖さ、尊厳、高潔
seminary（名詞）,（各宗派の）神学校
upshot（名詞）,（the upshotで）結末、結果、結論
verification（名詞）,証明、実証、確認、証拠、根拠
centenary（名詞）,（英）100年祭、100周年記念（米ではcentennial）
centenary（形容詞）,100年の、100年ごとの
continuum（名詞）,（物・感覚などの）連続（体）
courtship（名詞）,（結婚までの）交際期間、求愛、（動物の）求愛行動
flux（名詞）,絶え間ない変化、不安定、流れ、流動
genealogy（名詞）,系図学、家系図、系統図、家系、血統
genesis（名詞）,（Genesisで）創世記、（通常the genesisで）起源、発生
hiatus（名詞）,（仕事などの）中断、（文・語などの）脱落（部分）
omen（名詞）,前兆、兆し、予感、予知
precursor（名詞）,先駆者、前任者、前兆、前身、前駆体
prelude（名詞）,（通常a preludeで）前触れ、前兆、（詩などの）導入部、前奏曲
respite（名詞）,（仕事や苦痛などの）一時的中断、小休止
vigil（名詞）,（見張り・看病などで）徹夜（の期間）、（抗議などで）徹夜の座り込み、不眠
aspen（名詞）,アスペン（ポプラの一種）
birch（名詞）,カバノキ（birch tree）、カバ材
blight（名詞）,（植物の）胴枯れ病、虫害、（希望などを）くじくもの
blight（他動詞）,（植物）を枯らす
disintegration（名詞）,崩壊、分解、分裂
garland（名詞）,（頭や首にかける）花輪、花冠、栄誉
garland（他動詞）,…を花輪で飾る（通常受身で）
graft（名詞）,①接ぎ木、皮膚移植　②汚職、収賄、不正利得
graft（他動詞）,…を接ぎ木する、…を移植する
heather（名詞）,ヘザー（種々のヒース［低木］の総称）、ヒースの荒野
hull（名詞）,（穀物・果物・種子の）外皮、殻、（豆の）さや、へた
hull（他動詞）,…の外皮［殻］を取る
meteor（名詞）,流星、隕石
nitrogen（名詞）,窒素
pod（名詞）,（エンドウ豆などの）さや、さや状のもの
pod（他動詞）,（豆）のさやをむく
ante（名詞）,（通常an [the] anteで）アンティー（ポーカーの参加料）
assortment（名詞）,各種取りそろえたもの、各種詰め合わせたもの、分類、仕分け
bane（名詞）,（the baneで）破滅のもと、悩みの種、（複合語で）…毒
cookery（名詞）,料理術、料理業
decor（名詞）,装飾、飾り付け、舞台装置
demolition（名詞）,破壊、取り壊し、粉砕、廃止
forcing（名詞）,強制、促成、発育促進
fragmentation（名詞）,分裂、崩壊、（コンピューターで）フラグメンテーション
graffiti（名詞）,（壁などの）落書き（graffitoの複数形）
hassle（名詞）,苦心、苦闘、面倒、困難、激論、けんか
hassle（他動詞）,…を困らせる、…を悩ます
hindsight（名詞）,後知恵
incompetence（名詞）,無能力、不適格、無資格
knack（名詞）,（通常a [the] knackで）こつ、特技、（…する）癖、特性
mannerism（名詞）,（言葉・動作などの）癖、わざとらしさ、（芸術などの）型にはまった手法
orgy（名詞）,どんちゃん騒ぎ、乱交パーティー
puncture（名詞）,（とがった物で）刺すこと、穴を開けること、パンク
puncture（他動詞）,…を刺して穴を開ける
quirk（名詞）,言い逃れ、気まぐれ、奇行、変な癖
rapport（名詞）,関係、調和、調和的な関係
respectability（名詞）,立派な態度、世間体、体面、立派な社会的地位
scourge（名詞）,むち、災難（の原因）、天災、たたり
scourge（他動詞）,…をむちで打つ、…を罰する
stealth（名詞）,ひそかなやり方
stealth（形容詞）,レーダーで捕捉しがたい
stigma（名詞）,（通常a stigmaで）汚名、汚点、恥辱
abduction（名詞）,誘拐、拉致、仮説形成、アブダクション
arson（名詞）,放火（罪）
backdrop（名詞）,（舞台の）背景幕、（事件などの）背景
bounty（名詞）,（政府の）奨励金、（犯人逮捕などの）報奨金、気前のよさ、恵み
brokerage（名詞）,仲介業、仲介会社、仲介手数料
complicity（名詞）,（犯罪などの）共謀、共犯
confederate（名詞）,同盟者［国］、連合国、共謀者
confederate（他動詞）,…を同盟させる
confederate（自動詞）,同盟する
contingency（名詞）,偶然（性）、（将来起こり得る）出来事、不慮の出来事
courthouse（名詞）,裁判所の庁舎、郡庁所在地
debacle（名詞）,（軍隊などの）総崩れ、敗走、（政府などの）崩壊、大失敗
disparity（名詞）,不同、不等、相違、不釣り合い
evasion（名詞）,逃れること、（責任などの）回避
extradition（名詞）,逃亡犯人の引き渡し、送還
feud（名詞）,確執、不和
feud（自動詞）,反目する、争う
fiat（名詞）,（権威による）命令、法令、許可
glut（名詞）,（通常a glutで）十分な供給、（商品などの）供給過剰
imposition（名詞）,（規則・負担などを）課すこと、無理な頼み、つけ込むこと
impunity（名詞）,刑罰［損害］を免れること
infusion（名詞）,（思想・金などの）注入、（薬草・茶などを）煎じること、煎じた液
liberalization（名詞）,自由化、自由主義化
loophole（名詞）,（城壁などの）銃眼、小窓、（法律などの）抜け穴、抜け道
malaise（名詞）,不安感、（社会の）沈滞、気分の優れない状態、不快感
middleman（名詞）,仲買人、中間業者、仲介人
payroll（名詞）,給料支払い簿、従業員名簿［総数］、給料支払い総額
piracy（名詞）,著作権侵害、違法コピー、海賊行為
probation（名詞）,保護観察、執行猶予、審査期間、試用期間
procurement（名詞）,調達、入手、獲得
ransom（名詞）,身代金、受け戻し
ransom（他動詞）,（身代金を払って）…を受け戻す
registry（名詞）,登録所、船籍、記録［登録］簿、登録、記録
roster（名詞）,職務当番表、名簿
roster（他動詞）,…を当番表［名簿］に載せる
synergy（名詞）,相乗効果、企業間協力、シナジー
tally（名詞）,勘定、計算、記録、得点
tally（他動詞）,…を計算する
tort（名詞）,不法行為
ultimatum（名詞）,最終提案、最後通牒［通告］
vindication（名詞）,弁護、弁明、正当性の立証、無実の証明
waiver（名詞）,権利放棄（証書）、（プロ野球などの）ウェーバー方式
fodder（名詞）,家畜の飼料、かいば、使い捨てにされる人［もの］、間に合わせ、素材
regimen（名詞）,（食事などの規則による）摂生、養生法
aberration（名詞）,常軌を逸すること、奇行、異常
anomaly（名詞）,例外、異例、変則、異常
caliber（名詞）,能力、度量、（弾丸などの）直径、（銃の）口径
centerpiece（名詞）,最も重要なもの、目玉、（テーブルなどの）中央に置く装飾品
finesse（名詞）,手際のよさ、術策、精巧さ、精妙さ
finesse（他動詞）,…を巧みに処理する
glimmer（名詞）,ちらちらする光、かすかな光、わずかな兆し
glimmer（自動詞）,ちらちら光る、かすかに光る
hallmark（名詞）,特徴、特質、（金・銀などの）純度検証極印、品質証明
hallmark（他動詞）,…に純度検証の極印を押す
horde（名詞）,（騒々しい人たちの）群れ、（動物などの）大群
optimization（名詞）,最適化
parity（名詞）,同額、同等、同格
rectitude（名詞）,正直さ、公正さ、正しさ
rigor（名詞）,厳格、厳しさ、苦しさ、厳密さ
spate（名詞）,（通常a spateで）多数、多量、（言葉や感情の）ほとばしり
spree（名詞）,浮かれ［ばか］騒ぎ、酒盛り
stint（名詞）,出し惜しみ、制限、仕事の期間、割り当てられた仕事
stint（他動詞）,…を制限する、…を出し惜しむ
tinge（名詞）,（a tingeで）色合い、…気味、かすかな味［様子］
tinge（他動詞）,…を薄く着色する、…を染める
abyss（名詞）,深淵、どん底、溝
arbor（名詞）,あずまや、木陰の休み場所
ascendancy（名詞）,優位、優勢、支配
bastion（名詞）,要塞、とりで、最後のよりどころ
bedrock（名詞）,（最下層の）岩盤、基盤、根底、最低、底
bower（名詞）,木陰（の休息所）、あずまや
cache（名詞）,（食料・武器などの）隠し場所、隠した物、（コンピューターで）キャッシュメモリ
chasm（名詞）,（地面・岩などの）深い裂け目、亀裂、（意見などの）食い違い、隔たり
culmination（名詞）,（the culminationで）最高点、最高潮、成果
farmyard（名詞）,農家の庭
furrow（名詞）,あぜ溝、（顔の）深いしわ
furrow（他動詞）,（畑）にあぜ溝を作る、（顔）にしわを寄せる
hump（名詞）,小さな丘、（道路の）盛り上がり、（人の背中の）こぶ、（ラクダの）こぶ
labyrinth（名詞）,迷宮、迷路、複雑な事情
lavatory（名詞）,トイレ、洗面所
milieu（名詞）,（通常a [the] milieuで）環境、境遇
pitfall（名詞）,（通常pitfallsで）隠れた危険、落とし穴、わな、間違いやすい点
quagmire（名詞）,（通常a [the] quagmireで）沼地、湿地、泥沼、苦境、窮地
stalemate（名詞）,行き詰まり、（チェスで）手詰まり
stalemate（他動詞）,（相手）を手詰まりにさせる
tier（名詞）,層、列、段、段階、階層
torso（名詞）,トルソー（胴だけの彫像）、（人体の）胴、不完全な作品
trajectory（名詞）,弾道、軌道、足跡
vanguard（名詞）,（the vanguardで）指導的地位、先頭、先駆者、指導者、（軍隊などの）先頭、前衛
warren（名詞）,ウサギの繁殖地［飼育場］、過密な住居、ごみごみした地域［建物］
watershed（名詞）,分岐点、分水地点
alias（名詞）,偽名、別名、通称、（コンピューターで）エイリアス
alias（副詞）,偽名は…、またの名は…
alumnus（名詞）,（男子の）卒業生、同窓生
bard（名詞）,詩人、（ケルト族の）吟遊詩人
boomer（名詞）,ベビーブーム世代の人
brethren（名詞）,同志、同胞、信仰［同業者］仲間（複数扱い）
entourage（名詞）,側近の人々、周囲、環境
guise（名詞）,（通常a [the] guiseで）（ごまかすために装った）外観、扮装、見せ掛け、ふり
heterosexual（名詞）,異性愛の人
heterosexual（形容詞）,異性愛の、異性の（限定用法が多い）
mason（名詞）,石工、（米）れんが職人
mason（他動詞）,…をれんがで建てる
pedigree（名詞）,家系、血統、家柄、起源、歴史、家系図
pseudonym（名詞）,偽名、仮名、雅号、筆名、ペンネーム
skinner（名詞）,皮をはぐ人、皮革商、荷車用家畜の御者
surrogate（名詞）,代理人、代用物
surrogate（形容詞）,代理の（限定用法）
upstart（名詞）,成り上がり者、成金
upstart（形容詞）,成り上がり者の、成金の
whore（名詞）,売春婦、あばずれ女
whore（自動詞）,売春婦と遊ぶ、売春婦をする
beacon（名詞）,航路［水路］標識、信号灯、灯台、かがり火、指針となるもの
buffer（名詞）,（衝撃などを）和らげるもの［人］、（列車の）緩衝装置
buffer（他動詞）,…の衝撃を和らげる
buttress（名詞）,（教会などの）控え壁、支え、頼り
buttress（他動詞）,…を（控え壁で）支える
clamp（名詞）,留め金、留め具
clamp（他動詞）,…を（留め金で）固定する
cobble（名詞）,（通常cobblesで）（道路舗装のための）丸石、玉石
cornerstone（名詞）,隅石、礎石、基礎（となる人）、土台
crate（名詞）,木枠の箱、木箱、かご、木箱［かご］1杯の量
cuff（名詞）,（通常cuffsで）袖口、カフス、（ズボンなどの）すその折り返し、手錠
dolly（名詞）,（幼児語で）お人形さん、（荷物を運ぶ）台車、小型機関車
flagship（名詞）,旗艦、最も重要なもの
funnel（名詞）,じょうご（状のもの）
funnel（他動詞）,…を狭い所へ通す
funnel（自動詞）,狭い所を通る
gauntlet（名詞）,（通常gauntletsで）（バイク用などの）長手袋、（中世の騎士の）こて
grit（名詞）,砂、小石、根性、気骨
grit（他動詞）,…に砂をまく、（歯）を食いしばる
luster（名詞）,光沢、つや、輝き、栄光、名声
sheen（名詞）,輝き、光沢、つや
shingle（名詞）,屋根板、こけら板（以上、通常shinglesで）、（米）（医院などの）小看板
sludge（名詞）,泥、ぬかるみ、ヘドロ
torpedo（名詞）,魚雷、水雷
torpedo（他動詞）,…を魚雷で攻撃する、（政策・制度など）を粉砕する
zinc（名詞）,亜鉛、トタン板
zinc（他動詞）,…を亜鉛でめっきする
adjoining（形容詞）,隣の、隣り合った、接している
contingent（形容詞）,（将来の不確かな事に）依存する、（…）次第である、（…に）付随する、不確かな
disproportionate（形容詞）,不釣り合いな、不均衡の
eclectic（形容詞）,取捨選択による、折衷主義の、折衷的な
sparse（形容詞）,まばらな、少ない、薄い
sporadic（形容詞）,点在する、ばらばらの、時折の、散発的な
towering（形容詞）,非常に高い、非常に優れた（限定用法）
unilateral（形容詞）,一方的な、片側だけの
vernacular（形容詞）,（言語が）その土地固有の
vernacular（名詞）,（通常the vernacularで）その土地固有の言語、言葉、方言
baroque（形容詞）,バロック様式の
baroque（名詞）,（the baroque [Baroque]で）バロック様式
contemplative（形容詞）,瞑想的な、沈思する、熟慮する、凝視する
lexical（形容詞）,語彙の、辞書の
nuptial（形容詞）,結婚（式）の（限定用法）
nuptial（名詞）,（nuptialsで）結婚式、婚礼
parochial（形容詞）,教会区の、偏狭な
profane（形容詞）,神を汚す、下品な、俗悪な、冒涜的な
profane（他動詞）,（神聖なもの）を汚す
prolific（形容詞）,（作家などが）多作の、（人・動物が）多産の、（植物などが）実りの多い
putative（形容詞）,推定上の、うわさの、一般に信じられている（限定用法）
quintessential（形容詞）,真髄の、典型的な
testimonial（形容詞）,証明［推薦］の、謝恩の、（法廷での）証言の
testimonial（名詞）,証明書、推薦状、賞状
theological（形容詞）,神学（上）の、神学に関する
uncanny（形容詞）,異様な、神秘的な、不可思議な
burly（形容詞）,体の大きい、頑丈な、がっしりした、ぶっきらぼうな
comatose（形容詞）,昏睡状態の、ひどく眠い、無気力な
coronary（形容詞）,冠状動脈の、心臓の（限定用法）
coronary（名詞）,冠状動脈、心臓発作
corporal（形容詞）,肉体［身体］の、胴体の
hefty（形容詞）,たくましい、強力な、大きくて重い、たくさんの
intestinal（形容詞）,腸の（限定用法が多い）
intravenous（形容詞）,静脈内の、静脈注射の
nasal（形容詞）,鼻の、鼻声の、鼻にかかった、鼻音の
nasal（名詞）,鼻音
neural（形容詞）,神経の（限定用法）
optic（形容詞）,目の、視力の、視覚の
optic（名詞）,目
precocious（形容詞）,（知的・身体的に）発達の早い、早熟の、ませた
spinal（形容詞）,背骨の、脊髄の
abrasive（形容詞）,かんに障る、不愉快な、耳障りな、研磨用の
abrasive（名詞）,研磨材
aggrieved（形容詞）,怒って、腹を立てて、権利を侵害された、苦しんでいる
alluring（形容詞）,誘惑する、魅惑的な、引きつけられる
ambivalent（形容詞）,相反［矛盾］する感情を持つ
apprehensive（形容詞）,恐れている、懸念している、気遣っている、理解が早い、明敏な
avid（形容詞）,熱心な、熱烈な（限定用法）、貪欲に求める
buoyant（形容詞）,楽天的な、陽気な、（景気が）上昇傾向にある、浮力のある、（液体が）浮揚力のある
bustling（形容詞）,（場所が）賑やかな、活気のある
distraught（形容詞）,（人が）（心配などで）取り乱した、狂気の
evocative（形容詞）,（記憶などを）呼び起こす、思い出させる
exuberant（形容詞）,元気いっぱいの、生き生きとした、喜びにあふれた、熱狂的な
fervent（形容詞）,熱心な、熱烈な、熱狂的な、熱い
giddy（形容詞）,目まいがする、目の回るような
glum（形容詞）,憂うつな、つまらなそうな、陰気な
grudging（形容詞）,嫌々の、渋々の
harrowing（形容詞）,痛ましい、悲惨な、つらい（限定用法）
heady（形容詞）,興奮させる、酔わせる、わくわくさせる
hilarious（形容詞）,とても面白い、陽気な
humiliating（形容詞）,屈辱的な、不面目な
jubilant（形容詞）,喜びに満ちた、歓声を上げる
morbid（形容詞）,（精神・考えなどが）病的な、不健全な、病気の、身の毛もよだつ、恐ろしい
obnoxious（形容詞）,とても不快な、嫌な、気に障る
poignant（形容詞）,（悲しみなどが）身を切るような、痛切な、（物語などが）心を打つ、辛らつな
poised（形容詞）,落ち着きのある、構えた、態勢の整った
raucous（形容詞）,騒々しい、耳障りな、しわがれ声の
rueful（形容詞）,悲しそうな、悔悟の念でいっぱいの
sardonic（形容詞）,冷笑的な、あざけりの
seductive（形容詞）,（性的に）誘惑的な、魅力的な
somber（形容詞）,陰気な、深刻な、憂うつな、地味な、薄暗い
strident（形容詞）,かん高い、金切り声の、耳障りな、きしる
tacit（形容詞）,暗黙の、無言の
tantalizing（形容詞）,人の期待をかき立てる、じれったい、じらすような
taut（形容詞）,ぴんと張った、引き締まった、緊張した
vigilant（形容詞）,絶えず警戒している、油断のない
adrift（形容詞）,（船などが）流されて、漂流して、（人が）さまよって（叙述用法）
austere（形容詞）,（文体・服などが）簡素な、（生活などが）質素な、（人などが）厳しい、厳格な
baggy（形容詞）,袋のような、だぶだぶの、垂れ下がった
barbed（形容詞）,とげのある、（言葉が）辛らつな
blatant（形容詞）,見え透いた、露骨な、図々しい、騒々しい
brittle（形容詞）,もろい、はかない、不安定な
charred（形容詞）,黒焦げの
clandestine（形容詞）,秘密の、秘密で行われる
culinary（形容詞）,料理（用）の、台所の
destitute（形容詞）,（人が）極貧の、貧窮の、（必要なものを）欠いている、持たない
discretionary（形容詞）,任意の、自由裁量の（限定用法が多い）
drab（形容詞）,くすんだ茶色の、退屈な
drab（名詞）,くすんだ茶色、淡褐色、単調、退屈
ethereal（形容詞）,微妙な、霊妙な、極めて優美な、空気のような、軽やかな
flamboyant（形容詞）,けばけばしい、燃えるような、きらびやかな、大胆な
flimsy（形容詞）,（布などが）薄っぺらな、（物が）もろい、壊れやすい、（口実などが）見え透いた
fluorescent（形容詞）,蛍光を発する、蛍光性の
grandiose（形容詞）,壮大な、堂々とした、気取った、大げさな
idiosyncratic（形容詞）,特有の、特異な、奇妙な
idyllic（形容詞）,牧歌的な、素朴な、のどかな
impeccable（形容詞）,欠点のない、申し分のない
indelible（形容詞）,消すことのできない、いつまでも残る
jagged（形容詞）,ぎざぎざのある、とがった（限定用法）
murky（形容詞）,どろどろの、濁っている、曇っている、暗い、あいまいな
opaque（形容詞）,不透明な、分かりにくい、あいまいな
palatable（形容詞）,味のよい、口に合う、快い、楽しい
palpable（形容詞）,明白な、容易に分かる、全くの、触診できる
plush（形容詞）,フラシ天の、高級な、ぜいたくな、豪華な
plush（名詞）,フラシ天（ビロードの一種）
posh（形容詞）,しゃれた、豪華な、上品な、気取った
pristine（形容詞）,汚れのない、新品の、初期の、本来の（限定用法）
pseudo（形容詞）,偽りの、偽の、見せ掛けの
pseudo（名詞）,いかさま師
resonant（形容詞）,反響する、共鳴を起こす、響き渡る
seedy（形容詞）,種の多い、みすぼらしい、評判の悪い、いかがわしい
shoddy（形容詞）,安物の、見掛け倒しの
shoddy（名詞）,安物、見掛け倒し
sleazy（形容詞）,みだらな、いかがわしい、だらしのない
sleek（形容詞）,滑らかな、つやつやした、すべすべした
sleek（他動詞）,…を滑らかにする
stagnant（形容詞）,（水などが）よどんだ、停滞した、不景気な
stricken（形容詞）,（病気に）かかった、（悲しみ・不幸などに）打ちひしがれた
supple（形容詞）,曲げやすい、しなやかな、柔軟な、素直な、卑屈な
tangled（形容詞）,もつれた、混乱した
tawdry（形容詞）,派手で安っぽい、下品な、不快な
terse（形容詞）,簡潔な、ぶっきらぼうな、素っ気ない
tumultuous（形容詞）,騒がしい、騒々しい、（心・感情が）ひどく乱れた、動揺した
abiding（形容詞）,不変の、永遠の、持続的な（限定用法）
defunct（形容詞）,消滅した、現存しない、（人が）死亡した
fledgling（形容詞）,駆け出しの、未熟な
fledgling（名詞）,巣立ちしたばかりのひな鳥、未熟者
fleeting（形容詞）,はかない、短い、つかの間の（限定用法が多い）
impromptu（形容詞）,即席の、即興の
impromptu（副詞）,即座に、即興に
leisurely（形容詞）,ゆっくりした、ゆったりした
leisurely（副詞）,ゆっくりと、ゆったりと
makeshift（形容詞）,間に合わせの、一時しのぎの（限定用法が多い）
makeshift（名詞）,一時しのぎのもの
mounting（形容詞）,（不安などが）増加していく、悪化していく
mounting（名詞）,登る［乗る］こと
ominous（形容詞）,不吉な、険悪な、前触れの
resilient（形容詞）,回復力のある、弾力のある、はね返る
adamant（形容詞）,強固な、譲らない、動じない、不屈の
astute（形容詞）,（人・行動などが）機敏な、抜け目のない、ずるい
audacious（形容詞）,（人・行動などが）大胆不敵な、無謀な、勇敢な
brash（形容詞）,出しゃばりの、生意気な、派手な、けばけばしい
bullish（形容詞）,楽観的な、（相場が）上向きの、強気の
canny（形容詞）,利口な、注意深い、抜け目のない
coy（形容詞）,内気な、純情ぶっている
curt（形容詞）,ぶっきらぼうな、そっけない、（文体などが）簡潔な
disgruntled（形容詞）,不満な、不機嫌な、むっとした
dogged（形容詞）,容易に屈しない、頑固な、根気強い（限定用法が多い）
dour（形容詞）,厳格な、頑固な、気難しい、陰気な
fickle（形容詞）,（人・愛情などが）気まぐれの、移り気の、（天候などが）変わりやすい、不安定な
forthright（形容詞）,率直な、歯に衣を着せない
forthright（副詞）,真っすぐに、率直に
fraternal（形容詞）,兄弟の（ような）、友愛（会）の（限定用法）
glib（形容詞）,口が達者な、ペラペラよくしゃべる、うわべだけの、軽薄な
gregarious（形容詞）,社交的な、群居する、群生している
hapless（形容詞）,不幸な、不運な、数奇な
implacable（形容詞）,執念深い、なだめられない、無慈悲な
inept（形容詞）,不適当な、場違いな、不向きな
insatiable（形容詞）,飽くことを知らない、強欲な
intrepid（形容詞）,大胆不敵な、恐れを知らぬ
introspective（形容詞）,内省的な、内観的な
nimble（形容詞）,素早い、理解が早い、機転の利く
obsessive（形容詞）,過度の、とりつかれた、強迫観念の
perky（形容詞）,きびきびした、元気のよい、活発な
sanguine（形容詞）,快活な、楽天的な、自信のある、血色のよい
scrupulous（形容詞）,良心的な、誠実な、綿密な、几帳面な
sordid（形容詞）,（人などが）下劣な、あさましい、強欲な、（場所などが）汚い、むさ苦しい
tenacious（形容詞）,しっかりつかんで離さない、固守する、頑強な、断固とした、粘り強い
touchy（形容詞）,神経質な、怒りっぽい、扱いにくい
upbeat（形容詞）,楽天的な、陽気な、楽しい
whimsical（形容詞）,気まぐれな、移り気な、風変わりな、奇妙な
airborne（形容詞）,空輸の、（部隊が）空挺の、（飛行機などが）飛行中の、（花粉などが）空気で運ばれる
belligerent（形容詞）,好戦的な、けんか腰の、交戦中の
belligerent（名詞）,交戦国
concerted（形容詞）,協定された、協調した、共同された（限定用法）
contentious（形容詞）,論争［けんか］好きの、議論を呼ぶ
cumbersome（形容詞）,やっかいな、扱いにくい、運びにくい
cyclical（形容詞）,周期的な、循環する
evasive（形容詞）,回避的な、責任逃れの、あいまいな
fiduciary（形容詞）,信用上の、信託の
fiduciary（名詞）,受託者
forensic（形容詞）,犯罪科学の、法廷の（限定用法）、法医学の
fraudulent（形容詞）,詐欺（行為）の、不正な
insolvent（形容詞）,支払い不能の、破産した
null（形容詞）,無効の、価値のない
patrician（形容詞）,貴族の
patrician（名詞）,貴族
proprietary（形容詞）,私有の、専売の、所有者の
proprietary（名詞）,所有者、所有権
punitive（形容詞）,罰の、処罰の、懲罰的な、（課税などが）過酷な
reactionary（形容詞）,反動的な、保守的な
reactionary（名詞）,反動主義者
regal（形容詞）,王［女王］の、威厳ある、堂々たる、豪華な
sexist（形容詞）,性差別主義者の、性差別的な
sexist（名詞）,性差別主義者
stringent（形容詞）,（規則が）厳しい、強制的な、差し迫っている
subversive（形容詞）,（政府・体制を）転覆させる、破壊的な
subversive（名詞）,破壊活動分子
ablaze（形容詞）,燃えて、輝いて、興奮して（叙述用法）
arid（形容詞）,（土地などが）（異常に）乾燥した、湿気のない、不毛の、（人生などが）無味乾燥
corrosive（形容詞）,腐食する、さびる、痛烈な、辛らつな
endemic（形容詞）,（病気などが）ある地方特有の、風土性の、（動植物が）その地域に固有の
infrared（形容詞）,赤外（線）の（限定用法）
lush（形容詞）,青々と茂った、豪華な
mutant（形容詞）,突然変異の
mutant（名詞）,突然変異
predatory（形容詞）,捕食性の、肉食性の、略奪する、他人を利用する
rampant（形容詞）,（植物が）生い茂る、（病気・犯罪などが）はびこっている
seismic（形容詞）,地震の、影響力の強い（限定用法）
