symposium（名詞）,シンポジウム、討論会
gloom（名詞）,暗闇、薄暗さ、憂うつ
goodwill（名詞）,親切、善意、信用、（店などの）お得意、ひいき
hybrid（名詞）,雑種、混血、合成物
hybrid（形容詞）,雑種の、混血の、複合型の
ignition（名詞）,発火、点火（装置）、燃焼
imprint（名詞）,印、跡、印象
imprint（他動詞）,…を刻み込む、…に押す、（考えなど）をすり込む
individuality（名詞）,（時に an individuality で）個性、人格、個性的な人
infancy（名詞）,幼少、幼児、（its [the] infancy で）（発達の）初期
intercourse（名詞）,性交（sexual intercourse）
intimacy（名詞）,親密なこと、親交、詳細な知識、性的な関係
kinship（名詞）,親族関係、血族関係（以上は時に a kinship で）、関連
parting（名詞）,別れ、告別、出発、いとまごい
parting（形容詞）,別れの、最後の（限定用法）
permanence（名詞）,恒久不変、永続（性）、耐久（性）
placement（名詞）,置くこと、配置、職業紹介
potentiality（名詞）,可能性、潜在力、潜在状態、（通常 potentialities で）潜在的なもの
proficiency（名詞）,習熟していること、熟練
progression（名詞）,進歩、発達、前進、進行、連続
readiness（名詞）,準備ができていること、迅速、（時に a readiness で）快諾
relevance（名詞）,（時に a relevance で）関連性、妥当性、社会性
secrecy（名詞）,秘密にしておくこと、秘密であること、内密、口堅さ
siren（名詞）,サイレン、警笛、魅惑的な美女
sophistication（名詞）,洗練、精巧（化）、複雑（化）、知識、素養
specialty（名詞）,特技、専門、専攻、特殊性、特徴
starter（名詞）,皮切り、初心者、（コースの）最初に出る料理
stature（名詞）,名声、身長、発達
streak（名詞）,筋、しま、（脂肪などの）層
streak（他動詞）,…に筋［しま］をつける
streak（自動詞）,筋［しま］がつく
symbolism（名詞）,象徴性、象徴的表現、（しばしば Symbolism で）象徴主義
trait（名詞）,特徴、特色、特性
acknowledgment（名詞）,自認、承認、認識、感謝、（金銭などの）受領通知（書）
allegation（名詞）,（証拠のない）申し立て、主張、陳述
aristocracy（名詞）,（通常 the aristocracy で；集合的に）貴族（階級）、貴族政治
attainment（名詞）,到達、達成、獲得、（しばしば attainments で）偉業、功績
autonomy（名詞）,自治（権）、自主性、自治国家、自律性
breakthrough（名詞）,（交渉などの）打開、突破、前進
breakup（名詞）,（国家・組織などの）解体、分裂、（関係の）崩壊、別離
cancellation（名詞）,取り消し、キャンセル
captivity（名詞）,捕らわれの身、監禁状態
closure（名詞）,閉めること、閉鎖、締切、閉店、終了
coalition（名詞）,連合、連携、合同、一体化
consolidation（名詞）,合同、合併、整理統合、合同体、強化すること
constraint（名詞）,強制、制約、（感情などの）抑制、遠慮、気兼ね、強制するもの
contributor（名詞）,寄付者、貢献者、寄稿者、（好ましくない状況の）誘因
crusade（名詞）,十字軍（以上は the Crusades で）、改革［撲滅］運動
crusade（自動詞）,十字軍［反対運動］に加わる
degradation（名詞）,不名誉、体面を傷つけること、左遷、（品質などの）低下、劣化
demo（名詞）,（商品の）宣伝、実演、（ソフトウエアの）デモ版
deprivation（名詞）,（権利などの）はく奪、貧困、欠乏、喪失
disobedience（名詞）,不服従、反抗、違反
disruption（名詞）,混乱、分裂、（国家などの）崩壊
dissolution（名詞）,分解、（議会などの）解散、（契約などの）解除、解約
dominance（名詞）,支配、優勢、（遺伝子の）優性
domination（名詞）,支配（すること）、統治、優位（を占めること）
dumping（名詞）,ダンピング、（ごみなどの）投げ捨て
elimination（名詞）,除外、排出、廃絶、（競技の）予選
emigration（名詞）,移住、出稼ぎ、移民（団）
endowment（名詞）,寄付（をすること）、才能、素質、基金、基本財産
entity（名詞）,（実在する）もの、本質、実体
equity（名詞）,公平さ、正当、公明正大、無私無欲
feminism（名詞）,男女同権主義、フェミニズム
forestry（名詞）,林業、林学、森林管理、森林地
friendliness（名詞）,（または a friendliness で）友好的であること、友情
groundwork（名詞）,下地、（the groundwork で）基礎（工事）、土台
hierarchy（名詞）,階層制、階級制、ヒエラルキー
humanism（名詞）,人文主義、人間主義
idealism（名詞）,理想主義、理想化されたもの、観念論、唯心論
integration（名詞）,統合、統一、集大成、融和、人種差別の撤廃
intrusion（名詞）,侵入、不法占有、割り込み、（意見などの）押しつけ
lawsuit（名詞）,訴訟、告訴
legacy（名詞）,遺産、遺物、遺贈
lookout（名詞）,（a [the] lookout で）用心、見張り（人）、見晴らし、展望台
manifestation（名詞）,明示、表明、（霊魂の）現れ、示威運動
manpower（名詞）,人的資源
merger（名詞）,（吸収）合併、合同
migration（名詞）,移住、移動、（鳥の）渡り、移住者
mobility（名詞）,（社会階級などの）流動性、動きやすさ、移動性
observance（名詞）,（規則などに）従うこと、守ること、祝賀、（しばしば observances で）式典
orientation（名詞）,方向性、志向、入門指導、オリエンテーション
par（名詞）,等価、等位、平均、（ゴルフの）パー
par（他動詞）,（ゴルフコース）をパーで回る
plea（名詞）,弁解、口実（以上は the [one's] plea で）、申し立て
premium（名詞）,保険料、賞品、ハイオクガソリン
premium（形容詞）,上等な、割増の
pro（名詞）,①賛成論 ②プロ、専門家
pro（前置詞）,…に賛成して
pro（副詞）,賛成して
prologue（名詞）,（詩の）序の部分、序文（以上は時に Prologue で）、（事件などの）前触れ
prosecution（名詞）,訴訟、検察側、（義務などの）実行、遂行
quota（名詞）,割り当て（数量）、ノルマ、持ち分、取り分
realism（名詞）,現実主義、現実性、（しばしば Realism で）写実主義、リアリズム
recruitment（名詞）,新兵［新会員］の募集、採用、補充、リクルート
reliance（名詞）,当てにすること、依存、信用
resignation（名詞）,辞職、辞任、辞表、あきらめ
rivalry（名詞）,競争、対抗、対立関係［意識、行為］
server（名詞）,（コンピューターの）サーバー、給仕人、サーブをする人、盆
statute（名詞）,法令、制定法、規則
superiority（名詞）,上位、優越、優勢
syndicate（名詞）,シンジケート、企業連合
syndicate（他動詞）,…をシンジケートに組織する
syndicate（自動詞）,シンジケートを組織する
takeover（名詞）,買収、乗っ取り、引き継ぎ
thrift（名詞）,質素、倹約、繁茂
trademark（名詞）,（登録）商標、トレードマーク、商標権
brownie（名詞）,（米）ブラウニー（ナッツの入ったチョコレートケーキ）、ガールスカウトの幼年団員
hazelnut（名詞）,ハシバミの実、ヘーゼルナッツ
marmalade（名詞）,マーマレード
mint（名詞）,ハッカ、ミント
nourishment（名詞）,（栄養のある）食物、栄養、養育
rye（名詞）,ライムギ
abnormality（名詞）,ふつうではないこと［もの］、異常（なもの）
ambiguity（名詞）,あいまいさ、不明確さ、多義性、あいまいな語句［表現］
analogy（名詞）,類似、似かより、共通点、類推、推論
batch（名詞）,（a batch で）一束、一団、1回分
clarity（名詞）,明快さ、明瞭、透明、清澄
delicacy（名詞）,繊細さ、思いやり、ごちそう、美味
desperation（名詞）,自暴自棄、死にもの狂い
elegance（名詞）,優雅、上品（以上は時に an elegance で）、正確さ
eloquence（名詞）,雄弁、能弁、力強さ、巧みさ、力強い言葉
equilibrium（名詞）,つり合い、平静、落ち着き
eternity（名詞）,永遠、無限、不滅
fullness（名詞）,満ちていること、充満、充足、十分、ふくよかさ
generalization（名詞）,一般化、総合、概括、一般概念
imbalance（名詞）,不安定、不均衡、平衡失調、アンバランス
inadequacy（名詞）,不適切、不十分、無力さ
inferiority（名詞）,劣っていること、下級、下位
likeness（名詞）,似ていること、類似点、外観、似顔絵
mastery（名詞）,熟達、精通、専門的技能、勝利、支配
millennium（名詞）,1000年間、千年祭
obscurity（名詞）,無名（の人）、不明なもの、あいまいな状態
persistence（名詞）,固執、しつこさ、粘り強さ、永続
rarity（名詞）,希少価値、珍品、珍しさ
transparency（名詞）,透明（度）、透明性、オープン度
urgency（名詞）,緊急、切迫、（要求などの）しつこさ
velocity（名詞）,速さ、速度
brink（名詞）,（絶壁などの）縁（以上は the brink で）、瀬戸際、危機
correlation（名詞）,相互関係、相関関係、相関作用
forefront（名詞）,（the forefront で）最前部、（戦場などの）最前線
hemisphere（名詞）,（地球などの）半球、（活動・知識の）範囲、領域
interchange（名詞）,（高速道路の）インターチェンジ
interchange（他動詞）,…を入れ替える
manor（名詞）,荘園、領地、領主の邸宅
maze（名詞）,迷路、迷宮、（a maze で）当惑
segment（名詞）,部分、区分、セグメント、文節、円の弧
segment（他動詞）,…を分割する
tech（名詞）,（工業）専門学校、テクニカルカレッジ
trench（名詞）,深い溝、（しばしば trenches で）塹壕
vent（名詞）,穴、通気孔、（感情などの）はけ口
addict（名詞）,（麻薬などの）依存症の人、中毒者
bearer（名詞）,（手紙などを）運ぶ人、運搬人、（小切手・手形の）持参人
dweller（名詞）,住人、居住者
gourmet（名詞）,食通、美食家
grader（名詞）,…年生、採点者（以上は［米］）、地ならし機、グレーダー
lender（名詞）,貸す人、貸し主、金貸し
lunatic（名詞）,大ばか者、変人、精神障害者
lunatic（形容詞）,常軌を逸した（限定用法）
narrator（名詞）,（放送などの）語り手、ナレーター
pickpocket（名詞）,すり
pilgrim（名詞）,巡礼者、旅人、放浪者
plaintiff（名詞）,原告、申立人
practitioner（名詞）,開業者（特に開業医、弁護士）、専門家（以上は通常複合語で）、実践している人
presenter（名詞）,司会者、発表者、贈呈者、提出者
realist（名詞）,現実主義者、（芸術・文学などの）写実主義者、リアリスト
sovereign（名詞）,君主、主権者、統治者
sovereign（形容詞）,自治［主権］を有する、（権力が）最高の
spouse（名詞）,配偶者
weaver（名詞）,織り手、編む人
workaholic（名詞）,仕事中毒の人、仕事の虫
adapter（名詞）,アダプター、調節器
charcoal（名詞）,炭、木炭、濃い灰色（charcoal gray）
checklist（名詞）,確認リスト、一覧表
clasp（名詞）,（かばんなどの）留め金、（通常 a clasp で）握ること
clasp（他動詞）,…を握り［抱き］締める
claw（名詞）,（通常 claws で）（鳥獣の）かぎつめ、（カニの）はさみ
claw（他動詞）,…をつめで裂く［つかむ］
dice（名詞）,さいころ
dice（他動詞）,（野菜など）をさいの目に切る
dice（自動詞）,ばくちをする
dynamite（名詞）,ダイナマイト、強烈な効果を与える人［もの］
dynamite（他動詞）,…をダイナマイトで爆破する
filling（名詞）,（歯の）詰め物、（サンドイッチ・パイなどの）中身
filling（形容詞）,（食べ物が）満腹にする
foil（名詞）,金属の薄片、金属裏張り、（料理用の）ホイル
foil（他動詞）,…を失敗させる、…をくじく
gauge（名詞）,計測器、ゲージ、メーター
gauge（他動詞）,…を正確に測る、（損害など）を評価する
hinge（名詞）,ちょうつがい
hinge（自動詞）,ちょうつがいで動く
hinge（他動詞）,…にちょうつがいを付ける
hoop（名詞）,（金属・木などの）輪、たが
inscription（名詞）,記されたもの、銘、碑銘、題辞
invoice（名詞）,送り状、請求明細書、仕入れ書
litter（名詞）,ごみ、（a litter で）混乱
litter（他動詞）,（ごみなど）を散らかす
litter（自動詞）,ごみを散らかす
mop（名詞）,モップ
mop（他動詞）,…をモップでふく、（涙・汗など）をぬぐう
paddle（名詞）,櫂、パドル形のもの
paddle（自動詞）,こぐ、へらで打つ
paddle（他動詞）,…を櫂でこぐ
portfolio（名詞）,書類かばん、紙ばさみ、ポートフォリオ（金融資産の一覧）、（製品などの）品揃え
questionnaire（名詞）,アンケート、アンケート事項［用紙］
quilt（名詞）,キルト、キルトの掛け布団
radiation（名詞）,放射（エネルギー）、放射線、放射物
radiator（名詞）,放熱体、発光体、（エンジンなどの）冷却器、ラジエーター
relic（名詞）,遺物、遺品、（relics で）遺跡
socket（名詞）,（電球の）ソケット
substitution（名詞）,代用品、代理人、代用、置換
tack（名詞）,留めびょう（以上は［米］）、仮縫い、方針
tack（他動詞）,…をびょうで留める
transcript（名詞）,（タイプ・手書きによる）写し、（米）学業成績証明書
wrapper（名詞）,包むもの、包装紙、包装係、本のカバー、長くゆったりした部屋着
adverse（形容詞）,反対する、敵意に満ちた、（天候が）不都合な、不運な（限定用法が多い）
anti（形容詞）,反対の、異議のある
anti（名詞）,反対者
anti（前置詞）,反対して
borderline（形容詞）,国境線上の、どっちつかずの、不明確な（限定用法）
borderline（名詞）,境界、国境
coherent（形容詞）,密着した、結束した、首尾一貫した、筋の通った
compatible（形容詞）,（コンピューターで）互換性のある、共存できる、矛盾のない（叙述用法が多い）
corresponding（形容詞）,一致［対応］する、類似の、付随する（限定用法が多い）
incoming（形容詞）,やってくる、（潮などが）満ちてくる、（米）新入りの（限定用法）
inconsistent（形容詞）,一致しない、調和の欠けている、矛盾する、一貫性のない（叙述用法が多い）
interactive（形容詞）,相互に作用する、（コンピューターで）対話方式の、双方向の、インタラクティブな
irrelevant（形容詞）,関係のない、不適切な、見当違いの（叙述用法が多い）
lesser（形容詞）,（動物などが）より小型の、より劣った、より重要でない（限定用法）
northward（形容詞）,北へ向かう、北向きの（限定用法が多い）
northward（副詞）,北へ
parental（形容詞）,親の（ような）、親にふさわしい、母体となっている（限定用法が多い）
proportional（形容詞）,比例する、釣り合う、比例に基づく（叙述用法が多い）
proportional（名詞）,比例数［量］
removed（形容詞）,（距離・関係・時間などが）離れた、隔たった（叙述用法）、取り去られた
spatial（形容詞）,空間の、空間に存在する、空間的広がりのある（限定用法）
suburban（形容詞）,郊外の、郊外に住む、退屈な、偏狭な
unborn（形容詞）,まだ生まれていない、これから現れる、未来の、後世の
unequal（形容詞）,同等でない、等しくない、異なる、不釣り合いな、（叙述用法）適さない
unrelated（形容詞）,関係のない、親族でない
wandering（形容詞）,歩き回る、さすらう、さまよう、（考えなどが）取りとめない（限定用法）
bass（形容詞）,低音の、最低音部の、バス［ベース］（用）の
bass（名詞）,低音、バス、ベース
biographical（形容詞）,伝記の、伝記風の
descriptive（形容詞）,記述的な、説明的な、叙述的な
festive（形容詞）,祝祭の、お祭り気分の、華やいだ（限定用法が多い）
hereditary（形容詞）,遺伝性の、親譲りの、先祖代々の
illiterate（形容詞）,読み書きのできない、無学の、教養のない
introductory（形容詞）,紹介の、前置きの、導入の（限定用法が多い）
literal（形容詞）,文字通りの、逐語的な（限定用法が多い）
literate（形容詞）,読み書きができる、学識［教養］のある、洗練された
literate（名詞）,読み書きのできる人
paradoxical（形容詞）,逆説的な、矛盾した、奇妙な
philosophical（形容詞）,哲学の、哲学を研究する、理性的な、冷静な
postgraduate（形容詞）,（主に英）大学卒業後の、大学院の（限定用法が多い）
postgraduate（名詞）,（主に英）大学院生、研究科生
superstitious（形容詞）,迷信的な、迷信を信じる
amused（形容詞）,面白がっている、愉快になった、面白そうな（限定用法）
annoyed（形容詞）,困っている、悩んでいる、いらいらした、腹を立てた
appreciative（形容詞）,好意的な、真価が分かる、共感できる、感謝している
conceivable（形容詞）,考えられる、想像できる
contented（形容詞）,満足した、甘んじた
credible（形容詞）,信じられる、信用できる
detached（形容詞）,公平な、私心のない、分離した、一戸建ての
encouraging（形容詞）,激励の、勇気づける、励みになる
estimated（形容詞）,推定の、見積もりの、大体の
favored（形容詞）,好意を持たれている（以上は限定用法で）、恵まれた
hesitant（形容詞）,ためらって、ちゅうちょする
imaginable（形容詞）,（all、every、最上級の形容詞などを強調して）想像できる、考えられる限りの
impulsive（形容詞）,衝動的な、一時の感情による
incomprehensible（形容詞）,理解し難い、不可解な、無限の
involuntary（形容詞）,無意識の、何気なしの、不本意の
ironic（形容詞）,皮肉な、風刺的な、皮肉好きの
joyous（形容詞）,うれしい、喜びに満ちた
memorable（形容詞）,記憶すべき、（印象的で）記憶に残る、記憶しやすい
prickly（形容詞）,ちくちくする、（問題などが）厄介な
reminiscent（形容詞）,思い出させる、連想させる、しのばせる（叙述用法）
sarcastic（形容詞）,あざけりの、嫌みな、皮肉な
sensuous（形容詞）,感覚の、感覚を喜ばせる、官能的な
stressful（形容詞）,ストレスの多い、緊張を引き起こす
tempting（形容詞）,誘惑する、魅力的な
unforgettable（形容詞）,忘れられない、いつまでも記憶に残る
unsuspecting（形容詞）,疑わない、信用している（限定用法が多い）
adaptable（形容詞）,順応できる、順応性のある、融通の利く、柔軟な（叙述用法が多い）
adjustable（形容詞）,調節［調整］できる、順応できる
analog（形容詞）,アナログの
analytic（形容詞）,分析的な、分析に基づく（限定用法）
analytical（形容詞）,分析的な、分析に基づく、分析癖のある（限定用法）
assorted（形容詞）,各種取りそろえた、種種雑多の、調和の取れた
composite（形容詞）,各種の要素から成る、（米）合成の（限定用法が多い）
composite（名詞）,合成物、複合物
crooked（形容詞）,湾曲した、ねじれた、不正な、心の曲がった
curved（形容詞）,曲線状の、湾曲した
disabled（形容詞）,身体障害のある、（限定用法）身体障害者用の
disabled（名詞）,（the disabled で）身体障害者
disposable（形容詞）,使い捨ての、簡単に処分できる（限定用法が多い）
divided（形容詞）,分けられた、分かれた、分裂した
driven（形容詞）,追い詰められた、（複合語で）…で動く、…駆動の、…に駆られた
explanatory（形容詞）,（注釈などが）説明的な、説明のための（限定用法が多い）
extinct（形容詞）,死に絶えた、絶滅した、廃止された、廃れた
fading（形容詞）,徐々に色あせる、薄れる
finished（形容詞）,完成した、仕上がった、見事な、完全な
fragile（形容詞）,壊れやすい、もろい、つかの間の
illustrated（形容詞）,図解入りの、挿し絵［写真］がたくさん入った
implicit（形容詞）,暗黙の、暗に含まれた、潜在する、絶対の
implied（形容詞）,暗黙の、言外の
impractical（形容詞）,実用的でない、非現実的な、実践力のない、（主に米）実行不可能な
inaccessible（形容詞）,（場所などが）近づき難い、得難い、アクセスできない
inflexible（形容詞）,柔軟性がない、融通の利かない、頑固な
majestic（形容詞）,威厳のある、堂々とした、（木・山などが）雄大な
mobile（形容詞）,移動しやすい、可動性の（限定用法が多い）
mobile（名詞）,携帯電話、モビール（動く彫刻）
movable（形容詞）,動かせる、移動できる、（祝日などが）年によって日が変わる
mum（形容詞）,黙っている（叙述用法）
ongoing（形容詞）,継続している、進行中の（限定用法が多い）
raised（形容詞）,高くなった、酵母で膨らませた
recognizable（形容詞）,見分けのつく、認識［承認］できる
settled（形容詞）,固定［定着］した、（天気などが）落ち着いた、（問題などが）決着済みの
stationary（形容詞）,静止した、止まっている、固定された
superficial（形容詞）,表面的な、外見上の、浅薄な、実体のない
unbroken（形容詞）,壊れていない、完全な、連続した、（動物が）慣らされていない
underlying（形容詞）,表面下にある、内在する、基礎を成す、基本的な（限定用法）
undisturbed（形容詞）,乱されない、邪魔されない、平穏な、そのままにしてある
uneven（形容詞）,平らでない、でこぼこの、真っすぐでない、不規則な、奇数の
unfinished（形容詞）,終わっていない、未完成の、塗装していない
unsettled（形容詞）,（政情などが）不安定な、不穏な、（土地が）住民のいない、未解決の、未払いの
vulnerable（形容詞）,傷つきやすい、攻撃を受けやすい
decimal（形容詞）,小数の、十進法の
decimal（名詞）,小数
enduring（形容詞）,不朽の、永続的な、我慢強い（限定用法が多い）
quarterly（形容詞）,年4回の（限定用法）、4分の1の
unending（形容詞）,（よくないことが）いつまでも続く、果てしのない
advisable（形容詞）,望ましい、賢明な、勧められる
affirmative（形容詞）,肯定的な、賛成の、（米）積極的な（限定用法）
compelling（形容詞）,説得力のある、強制的な、やむにやまれぬ
conscientious（形容詞）,良心的な、実直な
considerate（形容詞）,思いやりのある、理解のある、察しのよい
cursed（形容詞）,のろわれた（以上は叙述用法が多い）、いまいましい（限定用法）
designing（形容詞）,腹黒い、ずるい、計画性のある、先見の明のある
designing（名詞）,設計（図）、意匠図案
disinterested（形容詞）,公平無私な、関心を持たない、冷淡な
homosexual（形容詞）,同性愛の、ゲイの
homosexual（名詞）,同性愛者、ゲイ
immoral（形容詞）,不道徳な、ふしだらな
impersonal（形容詞）,人間味のない、人格を持たない、個人的に関係ない、（文法で）非人称の
improbable（形容詞）,ありそう［起こりそう］もない、本当らしくない
indulgent（形容詞）,甘い、寛大な、大目に見る
innate（形容詞）,生まれながらの、生来の、固有の、本質的な（限定用法が多い）
inventive（形容詞）,発明の才のある、創意に富んだ
mischievous（形容詞）,いたずら好きな、茶目っ気のある、人に害を及ぼす
moody（形容詞）,気まぐれな、不機嫌な、憂うつな、ふさぎ込んだ
negligent（形容詞）,怠慢な、不注意な、無関心な、飾らない、自然のままの
predictable（形容詞）,予想［予言］できる、先の見えた
resolute（形容詞）,意志が固い、固く決心している、断固たる
shameless（形容詞）,恥知らずな、慎みのない、厚かましい
shrewd（形容詞）,抜け目のない、そつがない、鋭い
treacherous（形容詞）,不誠実な、裏切りをする、（記憶・天気などが）当てにならない、（水流などが）危険な
unfavorable（形容詞）,好ましくない、不利な、不運な
unfriendly（形容詞）,友好的でない、敵意のある
unfriendly（副詞）,非友好的に、不親切に
untrue（形容詞）,事実に反する、虚偽の、忠実でない、不正な、標準に合わない
alleged（形容詞）,申し立てられた、疑いを掛けられた、疑わしい（限定用法）
aristocratic（形容詞）,貴族の、貴族的な、貴族政治の
charitable（形容詞）,慈善（事業）の（以上は限定用法で）、寛大な、慈悲深い、情け深い
clerical（形容詞）,事務員の、書記の、（限定用法）聖職者の
clerical（名詞）,聖職者、牧師
confirmed（形容詞）,確認された、立証された、承認された（限定用法）
cosmopolitan（形容詞）,国際的な、多くの国の人から成る
cosmopolitan（名詞）,国際人、コスモポリタン
disciplinary（形容詞）,訓練の、規律上の、懲戒の、学問の（限定用法が多い）
freelance（形容詞）,自由契約［フリーランス］の
freelance（名詞）,自由契約の作家［俳優など］
freelance（副詞）,自由契約で、フリーランスで
governing（形容詞）,支配する、管理する、運営する（限定用法）
ideological（形容詞）,イデオロギーに関する、観念的な
incorporated（形容詞）,法人［会社］組織の、（米）有限責任の、合併した
informative（形容詞）,情報を提供する、知識を与える、有益な
integrated（形容詞）,統合された、完全な、差別をしない、平等の
judicial（形容詞）,裁判の、司法の、（選択などが）公正な（限定用法が多い）
licensed（形容詞）,認可された、免許を受けた、世間の認める
marketable（形容詞）,市場向きの、よく売れる、売買上の、取引の
nationalistic（形容詞）,国家主義的な、国粋主義的な
occupational（形容詞）,職業の、職業に関係のある、占領の（限定用法）
oppressive（形容詞）,圧制的な、不当に厳しい、（天候などが）不快な
organizational（形容詞）,組織に関する、組織的な、組織化する（限定用法が多い）
pending（形容詞）,未解決の、未決定の、懸案の
pending（前置詞）,…まで、…の間
pragmatic（形容詞）,実践的な、実利的な、実用主義の
preventive（形容詞）,予防の、防止に役立つ、妨害の（限定用法）
preventive（名詞）,予防薬、予防手段
problematic（形容詞）,問題のある、問題をはらむ、疑わしい
triumphant（形容詞）,勝利を収めた、成功した、勝ち誇った、意気揚々とした
aerial（形容詞）,空気の、大気の、航空機の［による］（限定用法）
bleak（形容詞）,荒涼とした、吹きさらしの、（見通しなどが）暗い
cloudless（形容詞）,一点の雲もない、晴れわたった、影のない（限定用法が多い）
leafy（形容詞）,葉の多い、葉で覆われた、葉状の
lunar（形容詞）,月の、月の運行で測った、（月のように）青白い、月に似た
sterile（形容詞）,（土地が）やせた、不毛の、不妊の、実のならない、無菌の
absorbing（形容詞）,（本などが）非常に面白い、夢中にさせる
arbitrary（形容詞）,任意の、独断的な、気ままな、（限定用法）専制的な
balanced（形容詞）,バランス［釣り合い］の取れた、安定した、公正な（限定用法が多い）
categorical（形容詞）,断定的な、絶対的な、無条件の、分類別の（限定用法が多い）
centigrade（形容詞）,（しばしば Centigrade で）セ氏の、百分度の
centigrade（名詞）,セ氏
conclusive（形容詞）,（証拠などが）決定的な、確実な、終結的な、終了させる
cubic（形容詞）,立方体の、体積の、立体の、三次元の、3乗の
deserved（形容詞）,受けて当然の、功罪に応じた、それだけの価値がある
durable（形容詞）,耐久力のある、長持ちする、丈夫な
durable（名詞）,（durables で）耐久消費財
emphatic（形容詞）,強調された、強勢のある、（人が）強調して
explicit（形容詞）,明快な、（限定用法が多い）あからさまの、露骨な
finite（形容詞）,限定された、限界のある、有限の
finite（名詞）,有限のもの
frail（形容詞）,虚弱な、ひ弱な、もろい、はかない
heavyweight（形容詞）,ヘビー級の、（目方が）普通以上に重い（限定用法）
heavyweight（名詞）,ヘビー級のボクサー、有力者
inaccurate（形容詞）,不正確な、不確かな、精密でない、ずさんな
incomplete（形容詞）,不完全な、不十分な、未完成の
ineffective（形容詞）,効果のない、無効な、無力な、役に立たない
inefficient（形容詞）,能率［効率］的でない、無能な、役に立たない
integral（形容詞）,不可欠の、肝要な、完全な、（数学で）積分の、整数の
integral（名詞）,全体、総体
intolerable（形容詞）,耐えられない、我慢できない、大変な
invaluable（形容詞）,計り知れないほど貴重な
lightweight（形容詞）,ライト級の、軽量の（限定用法）
lightweight（名詞）,ライト級のボクサー、小物
meaningful（形容詞）,意味のある、意味深長な、重要な
meaningless（形容詞）,意味のない、目的のない、無益な、価値のない
metric（形容詞）,メートル（法）の
negligible（形容詞）,無視してよい、取るに足らない、ごくわずかな
perilous（形容詞）,危険な、危険に満ちた、冒険的な
redundant（形容詞）,余分な、冗長な、余剰人員となった、過剰な、豊富な
scant（形容詞）,乏しい、…足らずの、（主に米）ぎりぎりの、不足気味の
shrill（形容詞）,甲高い、金切り声の、鋭い、（言葉などが）辛らつな
unconditional（形容詞）,無条件の、絶対的な、完全な
unfit（形容詞）,不適当な、適さない、（主に米）健康でない（叙述用法が多い）
unreal（形容詞）,実在しない、非現実的な、（信じられないくらい）素晴らしい
unsafe（形容詞）,安全でない、危険な
locally（副詞）,ある地方［場所］で、地元で、原産地で、地方的に
midway（副詞）,中途に、中程に
midway（名詞）,（米）催し物会場
hitherto（副詞）,（しばしば完了時制で）今まで、これまで
nightly（副詞）,夜に、毎夜
nightly（形容詞）,夜の、夜ごとの（限定用法）
acutely（副詞）,強く、激しく、ひどく、鋭く、敏感に
affectionately（副詞）,愛情を込めて、親しみを込めて
cleverly（副詞）,巧みに、利口に、器用に、如才なく
duly（副詞）,正当に、正しく、適切に、十分に
emphatically（副詞）,強調して、断固として、断然、徹底的に
exceptionally（副詞）,例外的に、異常に、非常に
faintly（副詞）,かすかに、少し、ぼんやりと、ほのかに
genuinely（副詞）,純粋に、本当に、心から
infinitely（副詞）,非常に、大いに、無限に、無数に
substantially（副詞）,相当、大幅に、実質的に（は）、大体は
sufficiently（副詞）,十分に、たっぷりと、足りるほど
alternatively（副詞）,（しばしば文頭で）二者択一的に、代わりに、あるいは
mutually（副詞）,互いに、相互に、共に
potentially（副詞）,潜在的に、もしかすると
purposely（副詞）,わざと、故意に
suspiciously（副詞）,疑わしげに、怪しそうに、うさんくさそうに
amid（前置詞）,…の真ん中に［で］、…に囲まれて、…の真っ最中に
versus（前置詞）,（競技・訴訟などで）…対、…に対して、…と対比して
assuming（接続詞）,…と仮定すれば、もし…とすれば
assuming（形容詞）,出しゃばった、生意気な
hurrah（間投詞）,フレー、万歳
drought（名詞）,日照り、干ばつ、欠乏
aggravate（他動詞）,…を悪化させる、（病状など）をさらに重くする、…をイライラさせる
amplify（他動詞）,…を増幅する、…を拡大する、…を拡張する
acoustic（形容詞）,音響（上）の、聴覚（上）の、楽器が生の（限定用法が多い）
animate（他動詞）,…に生気を与える、…を元気づける、…をアニメ化する
unconventional（形容詞）,型にはまらない、因習にとらわれない、自由な
assimilate（他動詞）,…を同化させる、…を融合させる、…を吸収する、…を消化する
assimilate（自動詞）,同化する
painstaking（形容詞）,骨の折れる、つらい、（人が）勤勉な（限定用法が多い）、念入りな
painstaking（名詞）,苦心
automate（他動詞）,（製造工程・工場・施設など）をオートメーション化する、…を自動化する、（製品）をオートメーションで製造する
automate（自動詞）,オートメーション化される、自動化される
semiconductor（名詞）,半導体
blacken（他動詞）,…を黒くする、…を暗くする、…を汚す
blacken（自動詞）,黒くなる、暗くなる
steeple（名詞）,（教会などの）尖塔、塔状の建物
crumble（他動詞）,…を粉々にする、…を砕く
crumble（自動詞）,粉々に崩れる
crumble（名詞）,（果物菓子の）クランブル
quartz（名詞）,石英
ore（名詞）,鉱石、原鉱、原石
gunpowder（名詞）,火薬
badger（名詞）,アナグマ
badger（他動詞）,…にしつこく言う、…を困らせる
deteriorate（自動詞）,悪化する、悪くなる、退廃する
contaminant（名詞）,汚染物質
daffodil（名詞）,ラッパズイセン、カナリア色
droop（自動詞）,（草木が）しおれる、弱る、だらりと垂れる、うなだれる
